iter,ndim,query_msecs
4,128,24.3451595306
5,128,29.424905777
6,128,36.1950397491
7,128,36.3898277283
8,128,33.5848331451
9,128,37.2087955475
10,128,35.3219509125
11,128,38.8720035553
12,128,35.24518013
13,128,36.7941856384
14,128,49.0257740021
15,128,49.7848987579
16,128,42.6158905029
17,128,40.7621860504
18,128,37.2807979584
19,128,44.9240207672
20,128,50.1289367676
21,128,50.20403862
22,128,43.9629554749
23,128,43.1950092316
24,128,48.8479137421
25,128,56.3941001892
26,128,47.8599071503
27,128,50.9099960327
28,128,49.252986908
29,128,54.1849136353
30,128,59.5259666443
31,128,60.8811378479
32,128,62.6831054688
33,128,57.8830242157
34,128,57.1022033691
35,128,73.9991664886
36,128,62.4210834503
37,128,68.9759254456
38,128,73.3799934387
39,128,76.9801139832
40,128,61.6691112518
41,128,59.70287323
42,128,63.3969306946
43,128,74.7628211975
44,128,71.9158649445
45,128,82.1499824524
46,128,75.9780406952
47,128,96.0230827332
48,128,82.8440189362
49,128,84.2151641846
50,128,77.9190063477
51,128,76.8790245056
52,128,113.481998444
53,128,135.719060898
54,128,128.833055496
55,128,130.00702858
56,128,115.997076035
57,128,123.645067215
58,128,130.136013031
59,128,132.865905762
60,128,135.891914368
61,128,139.337062836
62,128,134.575843811
63,128,91.6368961334
64,128,99.3430614471
65,128,113.093852997
66,128,103.922128677
67,128,113.373994827
68,128,107.37490654
69,128,101.420879364
70,128,106.961011887
71,128,102.230072021
72,128,115.104913712
73,128,105.515956879
74,128,100.285053253
75,128,104.779958725
76,128,129.319190979
77,128,115.643978119
78,128,105.361938477
79,128,108.979940414
80,128,128.188848495
81,128,108.104944229
82,128,123.43788147
83,128,115.852117538
84,128,113.919019699
85,128,120.86892128
86,128,134.304046631
87,128,139.24908638
88,128,124.402046204
89,128,129.456043243
90,128,141.546010971
91,128,128.498792648
92,128,135.397911072
93,128,132.393836975
94,128,132.494926453
95,128,145.560026169
96,128,127.105951309
97,128,134.613990784
98,128,157.800912857
99,128,134.536981583
0,64,15.4240131378
1,64,19.672870636
2,64,19.8340415955
3,64,19.0970897675
4,64,23.2999324799
5,64,21.4719772339
6,64,24.9800682068
7,64,24.9969959259
8,64,24.4078636169
9,64,28.0361175537
10,64,32.9279899597
11,64,28.7530422211
12,64,26.5498161316
13,64,26.5288352966
14,64,34.343957901
15,64,31.6269397736
16,64,30.3430557251
17,64,34.3890190125
18,64,35.7758998871
19,64,32.252073288
20,64,27.7600288391
21,64,28.8650989532
22,64,38.9301776886
23,64,38.889169693
24,64,26.6280174255
25,64,36.4089012146
26,64,39.9470329285
27,64,40.020942688
28,64,31.8751335144
29,64,42.4151420593
30,64,37.2869968414
31,64,37.7368927002
32,64,36.1099243164
33,64,34.8880290985
34,64,38.4459495544
35,64,43.261051178
36,64,40.5368804932
37,64,46.2410449982
38,64,47.2209453583
39,64,47.9021072388
40,64,37.4150276184
41,64,38.0828380585
42,64,44.1110134125
43,64,47.0440387726
44,64,43.3189868927
45,64,44.4839000702
46,64,46.5140342712
47,64,41.2201881409
48,64,45.9179878235
49,64,47.8460788727
50,64,43.1480407715
51,64,45.0608730316
52,64,52.8950691223
53,64,48.4490394592
54,64,46.3449954987
55,64,52.9799461365
56,64,53.1640052795
57,64,52.9129505157
58,64,55.6898117065
59,64,52.9839992523
60,64,49.9160289764
61,64,57.5370788574
62,64,59.2551231384
63,64,61.7899894714
64,64,62.8859996796
65,64,57.4431419373
66,64,61.3119602203
67,64,64.3529891968
68,64,61.6841316223
69,64,64.6028518677
70,64,60.840845108
71,64,58.5169792175
72,64,65.5920505524
73,64,58.6559772491
74,64,56.3638210297
75,64,69.267988205
76,64,61.5510940552
77,64,60.6970787048
78,64,65.4971599579
79,64,84.8140716553
80,64,78.6159038544
81,64,57.3470592499
82,64,64.2890930176
83,64,78.1531333923
84,64,72.2908973694
85,64,75.0408172607
86,64,68.5219764709
87,64,64.7511482239
88,64,69.8208808899
89,64,95.0450897217
90,64,59.5409870148
91,64,73.8880634308
92,64,76.751947403
93,64,90.7881259918
94,64,80.1470279694
95,64,78.4358978271
96,64,79.2019367218
97,64,73.047876358
98,64,84.037065506
99,64,93.6570167542
0,32,14.9879455566
1,32,8.4080696106
2,32,11.4839076996
3,32,14.6698951721
4,32,19.7749137878
5,32,18.4011459351
6,32,17.6589488983
7,32,22.4940776825
8,32,17.0810222626
9,32,18.1670188904
10,32,18.2089805603
11,32,22.4449634552
12,32,18.8779830933
13,32,20.9531784058
14,32,21.183013916
15,32,12.0351314545
16,32,24.0228176117
17,32,14.5399570465
18,32,19.8218822479
19,32,23.0920314789
20,32,20.3559398651
21,32,21.3210582733
22,32,25.3739356995
23,32,22.8891372681
24,32,23.4050750732
25,32,24.9719619751
26,32,25.3081321716
27,32,25.3059864044
28,32,20.4780101776
29,32,25.0720977783
30,32,39.008140564
31,32,26.575088501
32,32,34.264087677
33,32,27.60887146
34,32,25.0928401947
35,32,31.7070484161
36,32,29.5050144196
37,32,26.7639160156
38,32,33.8280200958
39,32,33.9331626892
40,32,26.7539024353
41,32,37.1370315552
42,32,34.0349674225
43,32,34.411907196
44,32,32.2511196136
45,32,34.255027771
46,32,31.7490100861
47,32,34.1081619263
48,32,35.835981369
49,32,26.0331630707
50,32,34.5830917358
51,32,31.366109848
52,32,31.2440395355
53,32,33.2689285278
54,32,35.9699726105
55,32,40.0819778442
56,32,41.6929721832
57,32,38.2449626923
58,32,33.7240695953
59,32,35.099029541
60,32,41.8980121613
61,32,34.2979431152
62,32,41.5120124817
63,32,39.3769741058
64,32,33.1699848175
65,32,39.1249656677
66,32,39.5472049713
67,32,47.7089881897
68,32,42.6449775696
69,32,39.5147800446
70,32,45.3820228577
71,32,44.1439151764
72,32,36.5331172943
73,32,45.3021526337
74,32,48.2420921326
75,32,45.1719760895
76,32,50.7099628448
77,32,39.0582084656
78,32,50.2729415894
79,32,44.7437763214
80,32,37.7299785614
81,32,41.1741733551
82,32,51.0020256042
83,32,41.3610935211
84,32,45.1030731201
85,32,40.5819416046
86,32,48.7389564514
87,32,51.5189170837
88,32,48.1810569763
89,32,50.9648323059
90,32,42.1578884125
91,32,48.840045929
92,32,38.8560295105
93,32,46.6060638428
94,32,42.8950786591
95,32,54.9261569977
96,32,45.1369285583
97,32,43.2150363922
98,32,49.2491722107
99,32,59.7050189972
0,16,11.6980075836
1,16,12.1591091156
2,16,12.3009681702
3,16,11.3289356232
4,16,14.6579742432
5,16,14.093875885
6,16,17.3971652985
7,16,19.9439525604
8,16,15.9478187561
9,16,9.40203666687
10,16,16.9188976288
11,16,14.2240524292
12,16,20.7161903381
13,16,20.348072052
14,16,17.1930789948
15,16,21.2528705597
16,16,17.6169872284
17,16,19.6108818054
18,16,20.3669071198
19,16,15.0570869446
20,16,25.5351066589
21,16,18.7809467316
22,16,19.6998119354
23,16,21.0149288177
24,16,20.7891464233
25,16,22.7310657501
26,16,17.8370475769
27,16,24.1620540619
28,16,21.7959880829
29,16,24.4109630585
30,16,21.2481021881
31,16,21.9528675079
32,16,25.4638195038
33,16,26.9570350647
34,16,20.1878547668
35,16,22.8769779205
36,16,23.1990814209
37,16,16.8151855469
38,16,16.02602005
39,16,24.1410732269
40,16,26.6540050507
41,16,23.1449604034
42,16,28.6860466003
43,16,29.5360088348
44,16,23.8170623779
45,16,23.9160060883
46,16,24.9700546265
47,16,25.4249572754
48,16,25.9668827057
49,16,27.617931366
50,16,26.1518955231
51,16,24.0650177002
52,16,27.0318984985
53,16,30.8320522308
54,16,24.8000621796
55,16,27.9121398926
56,16,19.9341773987
57,16,30.3480625153
58,16,25.0790119171
59,16,27.1179676056
60,16,27.410030365
61,16,31.8059921265
62,16,28.2189846039
63,16,33.5099697113
64,16,33.4260463715
65,16,27.4789333344
66,16,30.8420658112
67,16,31.2519073486
68,16,29.5989513397
69,16,41.1291122437
70,16,30.2171707153
71,16,34.9631309509
72,16,26.3829231262
73,16,34.8589420319
74,16,34.9581241608
75,16,27.5440216064
76,16,28.5911560059
77,16,31.0878753662
78,16,39.519071579
79,16,31.2860012054
80,16,33.164024353
81,16,38.4609699249
82,16,30.3640365601
83,16,29.1900634766
84,16,32.299041748
85,16,38.9099121094
86,16,35.4959964752
87,16,36.9961261749
88,16,36.3590717316
89,16,30.0121307373
90,16,39.3710136414
91,16,33.4651470184
92,16,38.143157959
93,16,34.5740318298
94,16,31.1260223389
95,16,32.2000980377
96,16,33.4439277649
97,16,35.7291698456
98,16,39.5591259003
99,16,42.8059101105
0,8,14.6157741547
1,8,11.4729404449
2,8,6.53505325317
3,8,10.7018947601
4,8,14.0309333801
5,8,11.782169342
6,8,13.6780738831
7,8,18.1300640106
8,8,15.3279304504
9,8,13.9439105988
10,8,17.0888900757
11,8,7.70497322083
12,8,12.3770236969
13,8,14.3978595734
14,8,19.3159580231
15,8,10.8230113983
16,8,13.5381221771
17,8,14.9190425873
18,8,24.6300697327
19,8,18.9728736877
20,8,16.3159370422
21,8,15.8989429474
22,8,12.9690170288
23,8,16.3249969482
24,8,17.3048973083
25,8,21.6519832611
26,8,22.8340625763
27,8,15.4669284821
28,8,16.3671970367
29,8,17.4148082733
30,8,23.9660739899
31,8,21.8181610107
32,8,17.872095108
33,8,18.7911987305
34,8,22.7630138397
35,8,16.8499946594
36,8,16.8509483337
37,8,24.5411396027
38,8,22.4549770355
39,8,22.351026535
40,8,12.9680633545
41,8,24.5819091797
42,8,23.3328342438
43,8,18.9909934998
44,8,20.0700759888
45,8,19.5360183716
46,8,25.9299278259
47,8,23.286819458
48,8,20.7149982452
49,8,17.5759792328
50,8,13.5951042175
51,8,17.040014267
52,8,15.7220363617
53,8,20.6429958344
54,8,23.6141681671
55,8,21.1050510406
56,8,25.5470275879
57,8,24.5180130005
58,8,26.6728401184
59,8,25.2029895782
60,8,29.5951366425
61,8,23.6330032349
62,8,20.4768180847
63,8,22.7649211884
64,8,25.9211063385
65,8,25.8269309998
66,8,32.8660011292
67,8,30.3831100464
68,8,29.1879177094
69,8,20.0538635254
70,8,28.443813324
71,8,30.8201313019
72,8,29.6819210052
73,8,29.6940803528
74,8,26.3469219208
75,8,56.41913414
76,8,25.5029201508
77,8,31.7919254303
78,8,25.6309509277
79,8,24.7540473938
80,8,24.5180130005
81,8,28.3150672913
82,8,32.8850746155
83,8,23.6909389496
84,8,31.0690402985
85,8,26.2069702148
86,8,29.1118621826
87,8,29.4408798218
88,8,36.2231731415
89,8,24.3208408356
90,8,23.6759185791
91,8,31.6119194031
92,8,75.325012207
93,8,24.7249603271
94,8,34.0909957886
95,8,39.9141311646
96,8,35.1719856262
97,8,35.5970859528
98,8,34.3899726868
99,8,35.1040363312
0,4,11.843919754
1,4,10.843038559
2,4,13.3697986603
3,4,19.0620422363
4,4,22.6459503174
5,4,19.770860672
6,4,22.2659111023
7,4,35.1939201355
8,4,34.590959549
9,4,25.6459712982
10,4,39.5228862762
11,4,51.0220527649
12,4,47.091960907
13,4,59.1421127319
14,4,65.2310848236
15,4,71.8121528625
16,4,83.4970474243
17,4,108.668088913
18,4,123.476982117
19,4,105.754852295
20,4,139.642000198
21,4,127.132892609
22,4,114.424943924
23,4,175.011873245
24,4,157.768964767
25,4,181.728124619
26,4,237.074136734
27,4,187.10899353
28,4,155.747890472
29,4,235.412120819
30,4,261.155128479
31,4,325.525999069
32,4,235.044956207
33,4,357.810020447
34,4,313.53187561
35,4,405.040979385
36,4,393.523931503
37,4,369.995832443
38,4,402.176141739
39,4,354.80093956
40,4,584.388017654
41,4,493.307828903
42,4,555.160045624
43,4,622.46799469
44,4,698.674917221
45,4,811.362028122
46,4,718.38593483
47,4,806.78319931
48,4,830.210924149
49,4,717.91100502
50,4,806.793928146
51,4,845.405101776
52,4,1011.17801666
53,4,964.064836502
54,4,1208.08506012
55,4,1230.48901558
56,4,1244.50802803
57,4,1220.5388546
58,4,1102.01311111
59,4,1135.95700264
60,4,1354.38513756
61,4,1096.95601463
62,4,1323.20380211
63,4,1340.15893936
64,4,1766.91603661
65,4,1971.93312645
66,4,1950.68383217
67,4,1881.18600845
68,4,2180.18102646
69,4,1561.86103821
70,4,2154.65283394
71,4,2063.96603584
72,4,1945.45912743
73,4,2384.89985466
74,4,2499.05991554
75,4,2403.50389481
76,4,2290.19498825
77,4,2539.94703293
78,4,2452.43310928
79,4,2596.17495537
80,4,2923.00200462
81,4,2799.81994629
82,4,2915.23003578
83,4,2814.39185143
84,4,3482.56897926
85,4,3309.75317955
86,4,3315.85788727
87,4,3794.27981377
88,4,4274.01995659
89,4,3623.5229969
90,4,4119.33803558
91,4,3970.27993202
92,4,4987.47396469
93,4,4053.09891701
94,4,4230.11684418
95,4,4800.65798759
96,4,4884.27901268
97,4,4741.23287201
98,4,5423.40898514
99,4,5267.09485054
